ai_register_id,name_ai_system_en,name_ai_system_fr,government_organization,description_ai_system_en,description_ai_system_fr,ai_system_primary_users_en,ai_system_primary_users_fr,developed_by_en,developed_by_fr,vendor_information,ai_system_status_en,ai_system_status_fr,status_date,ai_system_capabilities_en,ai_system_capabilities_fr,data_sources_en,data_sources_fr,involves_personal_information,personal_information_banks_en,personal_information_banks_fr,notification_ai,ai_system_results_en,ai_system_results_fr
2526-ATSSC-SCDATA-001,Westlaw AI,Westlaw AI,Administrative Tribunals Support Service of Canada / Service canadien d'appui aux tribunaux administratifs,"Westlaw Edge AI (with AI-Assisted Research) is an AI-augmented legal research platform from Thomson Reuters. It uses a large language model layered on Westlaw’s curated legal content to answer natural-language legal questions, generate summaries with supporting citations, surface jurisdictional law surveys, and provide litigation analytics.","Westlaw Edge AI (avec la recherche assistée par l'IA) est une plateforme de recherche juridique augmentée par l'IA de Thomson Reuters. Il utilise un grand modèle de langage superposé au contenu juridique organisé par Westlaw pour répondre à des questions juridiques en langage naturel, générer des résumés avec des citations à l'appui, des enquêtes de surface sur le droit juridictionnel et fournir des analyses de litige.",GC employees,Employés du GC,Vendor,Fournisseur,Thomson Reuters,In production,En production,2025,Large Language Model layered on Westlaw's curated legal content,Grand modèle de langage superposé au contenu juridique organisé par Westlaw,"Westlaw Edge’s AI features like KeyCite Overruling Risk, WestSearch Plus, and predictive models use natural language processing and machine learning models trained on relationships within its legal corpus. All content is maintainted within the Westlaw platform.","Les fonctionnalités d'IA de Westlaw Edge, telles que KeyCite Overruling Risk, WestSearch Plus et les modèles prédictifs, utilisent des modèles de traitement automatique du langage naturel et d'apprentissage automatique entraînés sur les relations au sein de son corpus juridique. Tout le contenu est maintenu dans la plateforme Westlaw.",N,,,Y,"Improved legal research speed and accuracy through AI-enhanced search, citation analysis, and litigation insights built on Westlaw’s curated legal content.","Amélioration de la vitesse et de la précision de la recherche juridique grâce à la recherche, à l'analyse des citations et aux informations sur les litiges améliorées par l'IA, basées sur le contenu juridique organisé par Westlaw."
2526-ATSSC-SCDATA-002,AI Legal Editing,AI Édition juridique,Administrative Tribunals Support Service of Canada / Service canadien d'appui aux tribunaux administratifs,Using CanChat to prepare legal summaries.,Utiliser CanChat pour préparer des résumés juridiques.,GC employees,Employés du GC,Government of Canada,Gouvernement du Canada,,In development,En cours de développement,2025,Generative AI - document generation,IA générative – génération de documents,Documents created by FPSLREB (tribunal).,Documents créés par la CRTESPF (tribunal).,Y,,,Y,More efficient generation of decision summaries - reduced time and use of resources (and some cost implication).,Production plus efficace des résumés de décisions – réduction du temps et de l'utilisation des ressources (et une certaine incidence sur les coûts).
2526-ATSSC-SCDATA-003,AI Proof of Concept,Projet de preuve de concept de l'IA,Administrative Tribunals Support Service of Canada / Service canadien d'appui aux tribunaux administratifs,Identifying tools and developing infrastructure and skills required to implement future AI solutions for ATSSC and the tribunals it supports.,Déterminer les outils et développer l'infrastructure et les compétences nécessaires pour mettre en œuvre les futures solutions d'IA pour le SCDATA et les tribunaux qu'il soutient.,GC employees,Employés du GC,Government of Canada,Gouvernement du Canada,,In development,En cours de développement,2025,Infrastructure and architecture for future generative and agentic AI solutions up to Protected B status.,Infrastructure et architecture pour les futures solutions d'IA générative et agentique jusqu'au niveau Protégé B.,,,Y,,,Y,"Intended to establish the required infrastructure, tool and skill foundation for future AI solutions.","Vise à établir l'infrastructure, les outils et les compétences nécessaires pour les futures solutions d'IA."
2526-AAFC-AAC-001,Milo 2.0,Milo 2.0,Agriculture and Agri-Food Canada / Agriculture et agroalimentaire Canada,Milo 2.0  is an internal enterprise service management chatbot provided as part of the enterprise service management tool BMC Helix. It will helps users get the technical help they need. It interoperates with the IT ticketing system to streamline IT requests and provides users with answers to frequently asked IT questions. It leverages LLMs and knowledge based articles to enable users to get the help they need in an even more natural and conversational manner. Developed in part by AAFC.,Milo 2.0 est un robot conversationnel interne de gestion des services d'entreprise fourni dans le cadre de l'outil de gestion des services d'entreprise BMC Helix. Il aidera les utilisateurs à obtenir l'aide technique dont ils ont besoin. Il interagit avec le système de gestion des demandes de TI pour rationaliser les demandes de TI et fournir aux utilisateurs des réponses aux questions fréquemment posées sur les TI. Il s'appuie sur les grands modèles de langage et les articles basés sur les connaissances pour permettre aux utilisateurs d'obtenir l'aide dont ils ont besoin d'une manière encore plus naturelle et conversationnelle. Élaboré en partie par AAC.,GC employees,Employés du GC,Vendor,Fournisseur,BMC Software,In development,En cours de développement,2025,Generative AI chatbot,Robot conversationnel d'IA générative,Enterprise service management knowledge base articles,Articles de la base de connaissances sur la gestion des services d'entreprise,N,,,Y,"Service requests attended to quickly and routed appropriately. With a reduced time to ticket resolution, we are enabling our client productivity. Opportunities for proactive self-service through new tools. Reduced wait times - An estimated 15% of calls to be served by the chatbot solution. Capacity for IM/IT analysts to focus on more complex issue resolution. Streamlined software fulfilment processes. Opportunities to leverage digitization and mobility to optimize the service delivery.","Les demandes de service sont traitées rapidement et acheminées de façon appropriée. En réduisant le temps de résolution des billets, nous favorisons la productivité de nos clients. Possibilités de libre-service proactif grâce à de nouveaux outils. Réduction des temps d'attente – On estime que 15% des appels seront traités par la solution de robot conversationnel. Capacité pour les analystes de la GI-TI de se concentrer sur la résolution de problèmes plus complexes. Rationalisation des processus d'exécution des logiciels. Possibilités de tirer parti de la numérisation et de la mobilité pour optimiser la prestation de services."
2526-AAFC-AAC-002,AgPal Chat,Outil de clavardage d’AgriGuichet,Agriculture and Agri-Food Canada / Agriculture et agroalimentaire Canada,"AgPal and generative AI is making it easier for anyone to find information about more than 400 federal, provincial, territorial, and municipal programs and services that support the sustainable growth and competitiveness of the sector. AgPal Chat allows users to find information on the programs and services available to them quicker, giving them easier and better access to funding and support tailored to their needs. ","L'AgriGuichet et l'IA générative permettent à quiconque de trouver plus facilement de l'information sur plus de 400 programmes et services fédéraux, provinciaux, territoriaux et municipaux qui soutiennent la croissance durable et la compétitivité du secteur. L'Outil de clavardage d’AgriGuichet permet aux utilisateurs de trouver plus rapidement de l'information sur les programmes et les services qui leur sont offerts, ce qui leur permet d'accéder plus facilement et plus facilement au financement et au soutien adaptés à leurs besoins. ",Members of public,Membres du public,Government of Canada,Gouvernement du Canada,,In production,En production,2024,Generative AI chatbot,Robot conversationnel d'IA générative,AgPal Website https://agpal.ca/en/home,Site Web d'AgriGuichet https://agpal.ca/fr/accueil,Y,PSU 914,POU 914,Y,"AgPal Chat provides flexibility to Canadians to engage and interact with the Government of Canada. AgPal Chat employs the same generative AI technology that powers ChatGPT, which allows it to understand nuanced questions and deliver precise and tailored responses to questions about agricultural programs and services. It can be fully customized to meet individual user preferences, such as by providing information in bullet points or simplified language. Additionally, it responds to queries in both official languages and allows users to ask follow-up questions. ","L'Outil de clavardage d'AgriGuichet offre aux Canadiens la souplesse nécessaire pour communiquer avec le gouvernement du Canada et interagir avec lui. L'Outil de clavardage d'AgriGuichet utilise la même technologie d'IA générative qui alimente ChatGPT, ce qui lui permet de comprendre des questions nuancées et de fournir des réponses précises et adaptées aux questions sur les programmes et services agricoles. Il peut être entièrement personnalisé pour répondre aux préférences individuelles de l'utilisateur, par exemple en fournissant des informations sous forme de puces ou en langage simplifié. De plus, il répond aux demandes de renseignements dans les deux langues officielles et permet aux utilisateurs de poser des questions de suivi. "
2526-AAFC-AAC-003,Annual Crop Inventory Map,Carte de l'inventaire annuel des cultures,Agriculture and Agri-Food Canada / Agriculture et agroalimentaire Canada,"Since 2009, the Annual Crop Inventory Map is one of AAFC's most downloaded open datasets and is used for sustainability reporting, policy, and programming by providing metrics of land use and environmental change over time. ","Depuis 2009, la carte de l'inventaire annuel des cultures est l'un des ensembles de données ouverts les plus téléchargés d'AAC et est utilisée pour les rapports, les politiques et les programmes de durabilité en fournissant des mesures de l'utilisation des terres et des changements environnementaux au fil du temps. ",Both employees and public,Les employés et le public,Government of Canada,Gouvernement du Canada,,In production,En production,2009,Machine Learning,Apprentissage automatique,"Open source Earth Observation satellites, field data, crop databases

https://open.canada.ca/data/en/dataset/ba2645d5-4458-414d-b196-6303ac06c1c9","Satellites d'observation de la Terre, données de terrain, bases de données sur les cultures

https://ouvert.canada.ca/data/fr/dataset/ba2645d5-4458-414d-b196-6303ac06c1c9",N,,,N,This system allows annual calculation of crop types across Canada at a high accuracy and provides a foundational layer to support the agricultural sector with digital data.,Ce système permet de calculer annuellement les types de cultures à l'échelle du Canada avec une grande précision et fournit une couche de base pour soutenir le secteur agricole avec des données numériques.
2526-AAFC-AAC-004,Document Detective,Détection de documents,Agriculture and Agri-Food Canada / Agriculture et agroalimentaire Canada,"Built upon SSC’s automated tool, AAFC’s Document Detective Tool is a smart system that helps the Access to Information and Privacy (ATIP) team streamline and accelerate the process of finding identical or very similar documents. The tool’s scalable and flexible architecture ensures that it can grow with our needs and can be used in different areas without needing major changes for process optimization and efficiency. Discussions are underway to scale the tool in other departments.","Fondé sur l'outil automatisé de SPC, l'outil de détection de documents d'AAC est un système intelligent qui aide l'équipe de l'accès à l'information et de la protection des renseignements personnels (AIPRP) à rationaliser et à accélérer le processus de recherche de documents identiques ou très similaires. L'architecture évolutive et flexible de l'outil garantit qu'il peut évoluer avec nos besoins et qu'il peut être utilisé dans différents domaines sans nécessiter de changements majeurs pour l'optimisation et l'efficacité des processus. Des discussions sont en cours pour étendre l'outil à d'autres ministères.",GC employees,Employés du GC,Government of Canada,Gouvernement du Canada,,In production,En production,2023,Document extraction,Extraction de documents,"AAFC Sharepoint Site, One Drive, Outlook and End-User Deskto","Site SharePoint d'AAC, One Drive, Outlook et Bureau de l'utilisateur final",N,,,Y,"Since its implementation in July 2023, it has reduced manual work by upwards of 70%. ","Depuis sa mise en œuvre en juillet 2023, elle a permis de réduire le travail manuel de plus de 70%. "
2526-AAFC-AAC-005,Milo,Milo,Agriculture and Agri-Food Canada / Agriculture et agroalimentaire Canada,"Milo is an internal, enterprise IT chatbot first launched in 2019 that helps users get the technical help they need. It interoperates with the IT ticketing system to streamline IT requests and provides users with answers to frequently asked IT questions. At the beginning of 2024, AAFC started implementing improvements to the chatbot, leveraging the power of AI to further streamline processes, enabling users to get the help they need in an even more natural and conversational manner.    ","Milo est un chatbot informatique interne d'entreprise lancé pour la première fois en 2019 qui aide les utilisateurs à obtenir l'assistance technique dont ils ont besoin. Il interagit avec le système de gestion des demandes de TI pour rationaliser les demandes de TI et fournir aux utilisateurs des réponses aux questions fréquemment posées sur les TI. Au début de 2024, AAC a commencé à apporter des améliorations au robot conversationnel, en tirant parti de la puissance de l'IA pour rationaliser davantage les processus, permettant ainsi aux utilisateurs d'obtenir l'aide dont ils ont besoin d'une manière encore plus naturelle et conversationnelle.    ",GC employees,Employés du GC,Government of Canada,Gouvernement du Canada,,Retired,Mis hors service,2024,Generative AI chatbot,Robot conversationnel d'IA générative,AAFC Sharepoint Site,Site SharePoint d'AAC,N,,,Y,"Milo was retired as its infrastructure services deprecated and upgrading the initial solution was not viable.  Milo 2.0, the NEW IT Centre Assistant “AAFC Service Desk Assistant/ nouveau robot conversationnel d’AAC”, is an online AI Chatbot designed to help guide employees through requests for IT services and support. ","Milo a été mis hors service car ses services d'infrastructure étaient obsolètes et la mise à niveau de la solution initiale n'était pas viable.  Milo 2.0, le NOUVEAU robot conversationnel conversationnel d'AAC (AAC Service Desk Assistant/ nouveau robot conversationnel d'AAC) du Centre de TI, est conçu pour aider à guider les employés dans leurs demandes de services et de soutien en TI. "
2526-AAFC-AAC-006,Extraction of Protein Digestibility Data ,Extraction des données sur la digestibilité des protéines ,Agriculture and Agri-Food Canada / Agriculture et agroalimentaire Canada,"The project aims to use AI and automation to extract and interpret nutrition data from scientific literature, focusing on amino acid composition. It would then calculate amino acid scores based on various reference patterns and present the results in summary tables or graphs highlighting the limiting amino acid.","Le projet vise à utiliser l'IA et l'automatisation pour extraire et interpréter les données nutritionnelles de la littérature scientifique, en se concentrant sur la composition des acides aminés. Il calculerait ensuite les scores d'acides aminés en fonction de divers modèles de référence et présenterait les résultats dans des tableaux récapitulatifs ou des graphiques mettant en évidence l'acide aminé limitant.",GC employees,Employés du GC,Government of Canada,Gouvernement du Canada,,In development,En cours de développement,2025,"Computer vision/image recognition, calculation and workflow automation and optimization","Vision par ordinateur/reconnaissance d'images, calcul et automatisation et optimisation du flux de travail",Scientific research papers,Documents de recherche scientifique,N,,,Y,"The desired outcomes: 
High accuracy across table types: target table-level accuracy ≥ 95% and field-level F1 ≥ 0.92 for core nutrition fields (nutrient name, quantity, unit, and context).
Comprehensive coverage of complex layouts: ≥90% of tables with identified layout types (multi-column, merged headers, irregular headers) are correctly interpreted.
End-to-end automation: processing of large document sets with minimal manual quality assurance, enabling batch runs with near-zero per-paper intervention.","Les résultats souhaités : 
Haute précision entre les types de tables : précision cible au niveau de la table ≥ 95% et F1 au niveau du champ ≥ 0,92 pour les champs de nutrition de base (nom du nutriment, quantité, unité et contexte).
Couverture exhaustive des mises en page complexes : ≥90% des tableaux ayant des types de mise en page identifiés (multicolonnes, en-têtes fusionnés, en-têtes irréguliers) sont correctement interprétés.
Automatisation de bout en bout : traitement de grands ensembles de documents avec un minimum d'assurance de la qualité manuelle, ce qui permet des tirages par lots avec une intervention quasi nulle par papier."
2526-AAFC-AAC-007,Arthropod Detection and Classification,Détection et classification des arthropodes,Agriculture and Agri-Food Canada / Agriculture et agroalimentaire Canada,Computer models are used to find and identify different insect species from images taken from sticky traps. The results are shown in an easy-to-use online dashboard to help track biodiversity.,Des modèles informatiques sont utilisés pour trouver et identifier différentes espèces d'insectes à partir d'images prises à partir de pièges collants. Les résultats sont présentés dans un tableau de bord en ligne facile à utiliser pour aider à suivre la biodiversité.,GC employees,Employés du GC,Government of Canada,Gouvernement du Canada,,In development,En cours de développement,2024,"Computer vision/image recognition, calculation and workflow automation and optimization","Vision par ordinateur/reconnaissance d'images, calcul et automatisation et optimisation du flux de travail",Images and scientific research papers,Images et documents de recherche scientifique,N,,,Y,"The desired outcome: A user-friendly web application built to facilitate insect identification and counting. 
Key features include: 
- Image upload and species selection 
- Adjustable confidence threshold for detection 
- Display of detected insects with bounding boxes 
- Downloadable results (labeled images and a CSV file summarizing species counts)","Le résultat souhaité : Une application Web conviviale conçue pour faciliter l'identification et le dénombrement des insectes. 
Les principales caractéristiques sont les suivantes : 
- Téléchargement d'images et sélection d'espèces 
- Seuil de confiance réglable pour la détection 
- Affichage des insectes détectés avec des boîtes englobantes 
- Résultats téléchargeables (images étiquetées et fichier CSV récapitulant les dénombrements d'espèces)"
